"Requirement_ID","Category","Requirement_Description","Verification_Method","Associated_Test","Status"
"REQ-ARCH-001","Architecture","Preserve 7-layer hierarchy without redesigning working modules","Inspection & Test","tests/test_end_to_end.py","PASS"
"REQ-ARCH-002","Architecture","Supervisory HMI decoupled from local vehicle safety governor","Code Audit & Test","tests/test_failure_modes.py::test_failure_mode_h_hmi_closes","PASS"
"REQ-SAFE-001","Safety","Enforce Stopping Distance constraint S_stop + S_margin <= R_effective","Analytical & Test","tests/test_physics.py::test_v_stop_analytical_solver","PASS"
"REQ-SAFE-002","Safety","Multi-constraint solver v_safe = min(v_stop, v_retarder, v_curve, v_mine)","Multi-Constraint Test","tests/test_safety_governor.py","PASS"
"REQ-SAFE-003","Safety","Non-negotiable local command clamping applied_speed = min(v_command, v_safe)","Fault Injection Test","tests/test_safety_governor.py::test_safety_governor_command_clamping","PASS"
"REQ-SAFE-004","Safety","Fallback to LOCAL_SAFE mode (v_safe <= 2.78 m/s) on comm loss or stale data","Stale Data Test","tests/test_stale_data.py::test_stale_telemetry_detection_and_fallback","PASS"
"REQ-TWIN-001","Digital Twin","Simulate discrete-time haul fleet kinematics and node queues","Simulation Test","tests/test_queue_model.py::test_queue_mass_balance_and_growth","PASS"
"REQ-TWIN-002","Digital Twin","Propagate fog visibility and friction changes numerically through simulation","Causal Chain Test","tests/test_fog_propagation.py::test_fog_to_capacity_causal_chain","PASS"
"REQ-BOT-001","Bottleneck","Calculate node bottleneck score from arrival rate, service rate, and queue","Algorithm Test","tests/test_bottleneck_detection.py::test_bottleneck_score_calculation","PASS"
"REQ-BOT-002","Bottleneck","Demonstrate dynamic shift of bottleneck node across mine network","Scenario Test","tests/test_bottleneck_detection.py::test_dynamic_bottleneck_shift","PASS"
"REQ-OPT-001","Optimization","Central optimizer issues arrival rate shaping commands with reason codes","Controller Test","tests/test_optimizer.py::test_arrival_shaper_optimization_decision","PASS"
"REQ-OPT-002","Optimization","Demonstrate measurable queue reduction in Fog-Orchestrator vs Baseline","Comparative Benchmark","run_baseline_vs_orchestrator.py","PASS"
"REQ-HMI-001","HMI","Broadcast live simulation state vectors via FastAPI WebSocket route (/ws/live)","Integration Test","SYNQRA_SIH2026-27-HMI/backend/app/main.py","PASS"
"REQ-HIL-001","Hardware Emulator","Vehicle A & B software emulators ingest commands, compute ACKs, and model faults","Software-HIL Test","tests/test_command_flow.py::test_command_flow_and_acknowledgement","PASS"
"REQ-FAIL-001","Failure Modes","Validate system resilience across 8 deliberate failure injection scenarios","Failure Injection Suite","tests/test_failure_modes.py","PASS"
